generation,best_fitness,mean_fitness,std_fitness,best_so_far,run
0,18.274165738677393,20.638774023056854,1.1615059153322291,18.274165738677393,1
1,18.01657508881031,20.86843702861203,1.1232502347258482,18.01657508881031,1
2,18.908304597359457,21.02877050226101,1.0377467214413911,18.01657508881031,1
3,19.2,21.28232022623624,1.1020227354193548,18.01657508881031,1
4,19.54928556845359,21.2242960816192,0.88143326704082,18.01657508881031,1
5,18.919803902718556,20.427599537565296,1.064454531696981,18.01657508881031,1
6,19.372004514666937,20.97692309739555,0.8221970212533184,18.01657508881031,1
7,17.61980390271856,20.625006841418706,1.0504647546892307,17.61980390271856,1
8,19.13527000944073,20.78850594758656,0.8508535255955726,17.61980390271856,1
9,19.229563014098698,21.047488086545467,0.9756957416022382,17.61980390271856,1
10,18.09666295470958,20.639811398621557,1.1103994711518945,17.61980390271856,1
11,18.36619037896906,20.60686407494451,1.049388311767821,17.61980390271856,1
12,18.488409872672513,20.652227184637685,0.9674153924967536,17.61980390271856,1
13,18.836660026534076,20.73577050396622,0.9530661200082883,17.61980390271856,1
14,19.02664991614216,20.661853878107717,1.1186599715440773,17.61980390271856,1
15,18.288854381999833,21.006532985991004,1.0519820598591378,17.61980390271856,1
16,17.292838827718413,20.625758757182904,1.1383111650386377,17.292838827718413,1
17,19.55758369027902,21.18514908424775,0.805849931333842,17.292838827718413,1
18,17.77979589711327,20.780035117638246,1.1029101854726078,17.292838827718413,1
19,18.380624847486573,20.366717283314628,0.8900277382072199,17.292838827718413,1
20,18.8295630140987,20.909811869826388,1.158154446748518,17.292838827718413,1
21,18.929705854077834,20.914536280381046,0.8023584670696465,17.292838827718413,1
22,18.869535971483266,20.827267077868814,0.7778458030855777,17.292838827718413,1
23,19.13527000944073,20.774284354199775,0.9460978218588817,17.292838827718413,1
24,18.640967364599085,21.014826545044432,0.9819694004166527,17.292838827718413,1
25,19.33390796058137,20.999473339576642,0.9382514901558119,17.292838827718413,1
26,18.868438714135813,20.676458658114708,0.9348147111559049,17.292838827718413,1
27,17.588409872672514,20.57934167330215,1.2094584842469058,17.292838827718413,1
28,18.82828568570857,21.048317582810473,1.0677495964454822,17.292838827718413,1
29,18.09666295470958,20.635787377529045,1.0473431186171251,17.292838827718413,1
30,18.54880884817015,20.864899838919868,1.1323856078739072,17.292838827718413,1
31,18.2,20.460144152879852,1.000735107818099,17.292838827718413,1
32,19.173320053068153,20.49031380151904,1.0083780358371668,17.292838827718413,1
33,19.22089730686545,20.691184541118844,0.8259271951437271,17.292838827718413,1
34,19.623243291566197,21.182530003894787,0.9879992734896106,17.292838827718413,1
35,18.724807680927192,20.767190821501412,0.8340634137788436,17.292838827718413,1
36,18.93238075793812,21.036176635917357,0.8209560238266161,17.292838827718413,1
37,19.01657508881031,20.48529019142718,0.7483957567363179,17.292838827718413,1
38,18.757583690279024,20.965963443592884,1.0161019822599089,17.292838827718413,1
39,18.822497216032183,20.715543676926394,1.0496372744596005,17.292838827718413,1
40,18.36619037896906,20.58059617026184,1.1952151951982553,17.292838827718413,1
41,18.80332963783729,20.448458163378245,0.9355222635070646,17.292838827718413,1
42,18.400000000000002,20.714296831528543,1.1402789723414268,17.292838827718413,1
43,19.140967364599085,20.7395067436883,0.8747188423518995,17.292838827718413,1
44,19.113112646970897,20.709856553068192,0.8147090064524378,17.292838827718413,1
45,19.322497216032183,21.08132647795963,0.8682743699600263,17.292838827718413,1
46,18.260681686165903,20.778601718660028,1.0368386534795557,17.292838827718413,1
47,19.169693845669904,21.045267548972152,0.9433248776532936,17.292838827718413,1
48,19.01657508881031,20.82515452928726,1.134985132865165,17.292838827718413,1
49,18.22474487139159,20.862051374095724,1.230950036380083,17.292838827718413,1
50,18.492838827718412,20.70843015171114,0.9844911324653439,17.292838827718413,1
51,18.422497216032184,20.935864647186676,0.9411923546663693,17.292838827718413,1
52,19.08113883008419,20.573063372496502,0.8509348645448511,17.292838827718413,1
53,18.378232998312527,20.77119599634128,1.1925805348770602,17.292838827718413,1
54,18.92756668824971,20.66264891615237,0.8862105350022185,17.292838827718413,1
55,18.991153452528778,20.74126283150972,0.8824734439281796,17.292838827718413,1
56,18.99373774505092,20.487790497976324,0.6836019176304093,17.292838827718413,1
57,18.43238075793812,20.46070863869569,0.8494954152034192,17.292838827718413,1
58,19.21909059582729,21.190334018852106,0.8933776556168891,17.292838827718413,1
59,18.18321595661992,20.268704186231524,1.067739288056382,17.292838827718413,1
60,17.640175425099137,20.389600190828293,1.2892565607901945,17.292838827718413,1
61,19.04939015319192,20.70664817193892,0.9125318682948695,17.292838827718413,1
62,19.02664991614216,20.748927548993933,1.1019775303741597,17.292838827718413,1
63,19.08522995463527,20.889632237243703,0.9010249532392495,17.292838827718413,1
64,19.2,20.90586458966202,0.9658506466183838,17.292838827718413,1
65,18.140175425099137,20.648940010926918,0.8235960818824888,17.292838827718413,1
66,18.488409872672513,20.5670917525684,1.1974179644334622,17.292838827718413,1
67,18.988409872672513,21.026201563698166,1.1175864184628888,17.292838827718413,1
68,18.7,20.996735980338002,1.017325381313714,17.292838827718413,1
69,18.709901951359278,20.55597498918269,0.9340384585061442,17.292838827718413,1
70,19.013552872566002,20.796074454048462,0.9867379760019382,17.292838827718413,1
71,18.900000000000002,20.596075894412035,0.8778172587960374,17.292838827718413,1
72,19.06953597148327,21.016310171563088,0.9505164584210168,17.292838827718413,1
73,18.563818169698585,20.35564156198041,0.9244208395535193,17.292838827718413,1
74,19.660107523773828,20.920248427683248,0.7207902152357077,17.292838827718413,1
75,17.76023252670426,20.605117160581376,1.0957574144682736,17.292838827718413,1
76,18.8295630140987,20.461251051575317,0.8704405309226215,17.292838827718413,1
77,18.71909059582729,20.86496210656618,1.0832597308644472,17.292838827718413,1
78,17.914213562373096,20.590057985197202,0.8871149219476205,17.292838827718413,1
79,18.61245154965971,20.857932255102185,1.13573872585667,17.292838827718413,1
80,18.012403840463595,21.112945032869543,1.096273910519455,17.292838827718413,1
81,18.44935886896179,20.780088701366537,0.9089626566200111,17.292838827718413,1
82,18.919803902718556,20.620158703410457,1.1561160507524297,17.292838827718413,1
83,17.8295630140987,20.68403799519449,1.2287244659813306,17.292838827718413,1
84,18.8295630140987,21.033286717516642,1.107447303802789,17.292838827718413,1
85,18.76843871413581,20.82217428551798,1.1087149584855653,17.292838827718413,1
86,18.30990195135928,20.75989057565449,1.0963364400679616,17.292838827718413,1
87,18.756465996625053,20.67218447548284,0.8489061264378105,17.292838827718413,1
88,19.372004514666937,21.213982826714783,0.794571744934257,17.292838827718413,1
89,19.840967364599088,20.96472372860413,0.7735829019830175,17.292838827718413,1
90,19.109975124224178,21.06806714295495,1.1906602824663133,17.292838827718413,1
91,19.50830459735946,20.940815973071476,0.7889635041386389,17.292838827718413,1
92,18.897366596101026,20.694552367891163,1.006782687252288,17.292838827718413,1
93,19.09666295470958,20.868292412028744,0.9405412315369424,17.292838827718413,1
94,18.3,20.40030699441178,1.1953273082272133,17.292838827718413,1
95,18.336660026534076,20.7561081909847,0.9046122557641626,17.292838827718413,1
96,19.08113883008419,20.94773840652901,0.8885756997399112,17.292838827718413,1
97,19.048999599679682,20.69874773281846,1.1440057604990945,17.292838827718413,1
98,18.05758369027902,20.893750777489625,1.071481911978692,17.292838827718413,1
99,18.822497216032183,20.842223628432937,1.0946158681001532,17.292838827718413,1
100,18.341640786499873,20.294639614883497,0.8803853939827201,17.292838827718413,1
101,18.448331477354788,20.39360116800891,0.8083373573087071,17.292838827718413,1
102,19.254723699099138,20.946482920244154,1.0546157026052727,17.292838827718413,1
