generation,best_fitness,mean_fitness,std_fitness,best_so_far,mutation_rate,run
0,18.274165738677393,20.638774023056854,1.1615059153322291,18.274165738677393,0.5,1
1,15.368438714135813,19.99396920014969,1.34019913762353,15.368438714135813,0.49673333333333336,1
2,15.368438714135813,19.28686819029689,1.248071453530874,15.368438714135813,0.49346666666666666,1
3,15.368438714135813,18.655765994199374,1.3283858166480447,15.368438714135813,0.4902,1
4,15.368438714135813,17.757521029382502,1.374850006894504,15.368438714135813,0.48693333333333333,1
5,14.964101615137753,17.140151609803247,1.3145553047704428,14.964101615137753,0.4836666666666667,1
6,14.964101615137753,16.62564708986222,1.2985294505580967,14.964101615137753,0.4804,1
7,14.958703314492292,16.256330297585425,1.142077060861082,14.958703314492292,0.47713333333333335,1
8,14.833907960581373,15.858933174120414,0.8942216541385936,14.833907960581373,0.47386666666666666,1
9,14.274868417407584,15.57120808376375,0.6831780576458829,14.274868417407584,0.4706,1
10,14.274868417407584,15.654483788385107,0.8536176492113597,14.274868417407584,0.4673333333333333,1
11,14.274868417407584,15.45445767002247,0.6588453687371584,14.274868417407584,0.4640666666666667,1
12,14.274868417407584,15.371330319836721,0.6613192888062857,14.274868417407584,0.4608,1
13,14.274868417407584,15.134999225354926,0.4231492873012713,14.274868417407584,0.45753333333333335,1
14,14.274868417407584,15.214919008980065,0.6063262739512807,14.274868417407584,0.45426666666666665,1
15,14.274868417407584,15.127133258006607,0.6465244803849661,14.274868417407584,0.451,1
16,14.274868417407584,15.086701343502414,0.5954543773917801,14.274868417407584,0.4477333333333333,1
17,14.274868417407584,15.121757907327977,0.7336056377561258,14.274868417407584,0.4444666666666667,1
18,14.12074368738204,14.937730466192285,0.5362797534243158,14.12074368738204,0.4412,1
19,14.274868417407584,15.205402712844798,0.9065318090191653,14.12074368738204,0.43793333333333334,1
20,14.274868417407584,14.993292126743267,0.6180057289291966,14.12074368738204,0.43466666666666665,1
21,14.274868417407584,15.027010011490347,0.7591227375363683,14.12074368738204,0.4314,1
22,14.274868417407584,14.990049552827891,0.7356358438407854,14.12074368738204,0.42813333333333337,1
23,14.00454076850486,14.844176317041516,0.7104910890821895,14.00454076850486,0.42486666666666667,1
24,14.00454076850486,14.860465814876743,0.6727700657487451,14.00454076850486,0.4216,1
25,14.00454076850486,14.733596604415732,0.69694061715785,14.00454076850486,0.41833333333333333,1
26,14.00454076850486,14.792314724851405,0.8411426082059593,14.00454076850486,0.4150666666666667,1
27,14.00454076850486,14.736779202721966,0.8598029994404555,14.00454076850486,0.4118,1
28,14.00454076850486,14.594993581302457,0.515702221784374,14.00454076850486,0.4085333333333333,1
